time_s,r_ShakeEOG_H,EOG_V
1.6200000000000014,443.66,499.27
1.6400000000000015,467.21,492.44
1.6600000000000015,467.21,492.44
1.6800000000000015,474.97,509.35
1.7000000000000015,474.97,509.35
1.7200000000000015,474.97,509.35
1.7400000000000015,489.98,523.88
1.7600000000000016,489.98,523.88
1.7800000000000016,513.58,513.3
1.8000000000000016,546.46,511.44
1.8200000000000016,553.58,514.4
1.8400000000000016,548.67,526.72
1.8600000000000017,548.67,526.72
1.8800000000000017,539.73,524.78
1.9000000000000017,539.73,524.78
1.9200000000000017,539.73,524.78
1.9400000000000017,539.73,524.78
1.9600000000000017,524.99,525.42
1.9800000000000018,524.99,525.42
2.0000000000000018,516.35,518.91
2.0200000000000014,490.27,522.09
2.040000000000001,490.27,522.09
2.0600000000000005,482.61,508.47
2.08,482.61,508.47
2.0999999999999996,482.61,508.47
2.119999999999999,482.61,508.47
2.139999999999999,453.29,511.98
2.1599999999999984,453.29,511.98
2.179999999999998,426.07,519.47
2.1999999999999975,427.31,512.76
2.219999999999997,428.25,511.41
2.2399999999999967,428.25,511.41
2.2599999999999962,428.25,511.41
2.279999999999996,428.25,511.41
2.2999999999999954,428.25,511.41
2.319999999999995,428.25,511.41
2.3399999999999945,439.8,496.73
2.359999999999994,475.68,498.71
2.3799999999999937,491.94,500.97
2.3999999999999932,491.94,500.97
2.419999999999993,491.94,500.97
2.4399999999999924,491.94,500.97
2.459999999999992,491.94,500.97
2.4799999999999915,491.94,500.97
2.499999999999991,517.16,491.18
2.5199999999999907,544.0,472.96
2.5399999999999903,548.0,483.37
2.55999999999999,548.0,483.37
2.5799999999999894,548.0,483.37
2.599999999999989,548.0,483.37
2.6199999999999886,548.0,483.37
2.639999999999988,538.6,506.9
2.6599999999999877,509.28,534.92
2.6799999999999873,344.57,517.89
2.699999999999987,344.57,517.89
2.7199999999999864,337.25,534.31
2.739999999999986,337.25,534.31
2.7599999999999856,337.25,534.31
2.779999999999985,337.25,534.31
2.7999999999999847,344.8,514.05
2.8199999999999843,359.04,509.24
2.839999999999984,415.61,507.31
2.8599999999999834,426.88,509.65
2.879999999999983,426.88,509.65
2.8999999999999826,440.11,502.12
2.919999999999982,445.69,497.09
2.9399999999999817,454.75,498.67
2.9599999999999813,454.75,498.67
2.979999999999981,454.75,498.67
2.9999999999999805,454.75,498.67
3.01999999999998,454.75,498.67
3.0399999999999796,462.6,502.14
3.059999999999979,472.28,491.31
3.0799999999999788,504.21,508.94
3.0999999999999783,509.37,507.35
3.119999999999978,509.37,507.35
3.1399999999999775,505.09,500.48
3.159999999999977,505.09,500.48
3.1799999999999766,505.09,500.48
3.199999999999976,505.09,500.48
3.2199999999999758,506.27,495.98
3.2399999999999753,506.27,495.98
3.259999999999975,508.94,490.83
3.2799999999999745,513.17,481.81
3.299999999999974,513.73,476.45
3.3199999999999736,512.59,467.96
3.339999999999973,512.59,467.96
3.359999999999973,512.59,467.96
3.3799999999999724,512.59,467.96
3.399999999999972,500.07,477.97
3.4199999999999715,500.07,477.97
3.439999999999971,487.76,463.9
3.4599999999999707,490.21,482.09
3.4799999999999702,490.37,492.08
3.49999999999997,494.49,507.46
3.5199999999999694,494.49,507.46
3.539999999999969,494.49,507.46
3.5599999999999685,494.49,507.46
3.579999999999968,495.2,502.17
3.5999999999999677,495.2,502.17
3.6199999999999672,499.36,505.53
3.639999999999967,500.82,494.03
3.6599999999999664,497.26,495.42
3.679999999999966,497.81,497.94
3.6999999999999655,497.81,497.94
3.719999999999965,497.81,497.94
3.7399999999999647,497.81,497.94
3.7599999999999643,501.05,498.75
3.779999999999964,501.05,498.75
3.7999999999999634,501.64,500.4
3.819999999999963,506.77,485.54
3.8399999999999626,506.77,485.54
3.859999999999962,508.82,488.23
3.8799999999999617,508.82,488.23
3.8999999999999613,508.82,488.23
3.919999999999961,508.82,488.23
3.9399999999999604,508.82,488.23
3.95999999999996,510.65,486.99
3.9799999999999596,510.52,485.19
3.999999999999959,515.49,495.54
4.019999999999959,515.49,495.54
4.039999999999958,518.79,495.03
4.059999999999958,518.79,495.03
4.079999999999957,518.79,495.03
4.099999999999957,518.79,495.03
4.119999999999957,524.03,494.42
4.139999999999956,524.03,494.42
4.159999999999956,519.67,484.83
4.179999999999955,521.19,476.89
4.199999999999955,521.19,476.89
4.2199999999999545,526.95,476.11
4.239999999999954,526.95,476.11
4.259999999999954,526.95,476.11
4.279999999999953,519.16,472.09
4.299999999999953,519.16,472.09
4.319999999999952,517.73,475.87
4.339999999999952,514.78,483.7
4.3599999999999515,500.19,499.43
4.379999999999951,500.95,506.34
4.399999999999951,500.95,506.34
4.41999999999995,504.36,520.28
4.43999999999995,503.09,516.62
4.459999999999949,503.09,516.62
4.479999999999949,506.94,505.4
4.4999999999999485,506.94,505.4
4.519999999999948,502.75,507.72
4.539999999999948,502.8,509.97
4.559999999999947,505.24,514.58
4.579999999999947,505.24,514.58
4.599999999999946,506.59,507.86
4.619999999999946,497.67,520.29
4.6399999999999455,503.54,512.83
4.659999999999945,501.43,513.27
4.679999999999945,501.43,513.27
